0.00	99950.00	   50.00	    0.00	    0.00	   50.00	0.000	1.860	1.860	    0.00	  1		    0.00	    0.00	   23.00	   27.00	0.000	0.000
1.00	99949.94	   50.06	    0.00	    0.06	   50.06	0.000	1.837	1.836	    0.06	 18		    0.06	    0.00	   23.06	   27.00	1.000	0.000
2.00	99949.52	   50.38	    0.10	    0.46	   50.48	2.121	1.980	1.979	    0.06	 69		    0.41	    0.06	   23.42	   27.06	0.875	0.125
3.00	99946.32	   52.14	    1.54	    3.34	   53.68	0.863	2.025	2.023	    0.09	 97		    2.55	    0.79	   25.85	   27.84	0.762	0.238
4.00	99930.17	   63.90	    5.93	   16.26	   69.83	0.304	2.020	2.018	    0.16	100		   11.89	    4.37	   37.65	   32.18	0.731	0.269
5.00	99894.93	   91.53	   13.54	   35.24	  105.07	0.297	2.029	2.026	    0.25	100		   25.31	    9.93	   62.96	   42.11	0.718	0.282
6.00	99848.64	  122.81	   28.55	   46.29	  151.36	0.327	2.010	2.007	    0.44	100		   33.65	   12.64	   96.61	   54.75	0.727	0.273
7.00	99790.97	  155.99	   53.04	   57.67	  209.03	0.267	2.008	2.004	    0.72	100		   41.80	   15.87	  138.41	   70.62	0.725	0.275
8.00	99716.42	  200.56	   83.02	   74.55	  283.58	0.245	2.005	2.001	    1.08	100		   54.65	   19.90	  193.06	   90.52	0.733	0.267
9.00	99619.42	  259.53	  121.05	   97.00	  380.58	0.255	2.005	2.000	    1.87	100		   71.37	   25.63	  264.43	  116.15	0.736	0.264
10.00	99497.14	  331.60	  171.26	  122.28	  502.86	0.251	2.000	1.994	    3.00	100		   89.85	   32.43	  354.28	  148.58	0.735	0.265
11.00	99338.38	  426.94	  234.68	  158.76	  661.62	0.249	1.999	1.992	    4.85	100		  116.91	   41.85	  471.19	  190.43	0.736	0.264
12.00	99133.51	  549.71	  316.78	  204.87	  866.49	0.253	1.993	1.983	    8.38	100		  149.60	   55.27	  620.79	  245.70	0.730	0.270
13.00	98871.27	  705.80	  422.93	  262.24	 1128.73	0.251	1.993	1.980	   14.28	100		  192.65	   69.59	  813.44	  315.29	0.735	0.265
