0.00	99950.00	   50.00	    0.00	    0.00	   50.00	0.000	1.660	1.660	    0.00	  1	  0	    0.00	    0.00	   37.00	   13.00	0.000	0.000
1.00	99950.00	   50.00	    0.00	    0.00	   50.00	0.000	1.852	1.852	    0.00	 25	  1	    0.00	    0.00	   37.00	   13.00	0.000	0.000
2.00	99949.51	   50.37	    0.11	    0.49	   50.49	2.128	1.960	1.960	    0.03	 70	 25	    0.43	    0.06	   37.43	   13.06	0.882	0.118
3.00	99944.70	   53.20	    2.10	    4.96	   55.30	0.719	2.001	1.999	    0.06	 99	 70	    3.97	    0.99	   41.27	   14.03	0.800	0.200
4.00	99926.57	   66.62	    6.81	   18.18	   73.43	0.318	1.996	1.995	    0.09	100	 99	   14.39	    3.79	   55.62	   17.81	0.792	0.208
5.00	99891.31	   93.31	   15.38	   35.26	  108.69	0.286	1.995	1.994	    0.20	100	100	   27.07	    8.19	   82.69	   26.00	0.768	0.232
6.00	99842.76	  125.52	   31.72	   48.55	  157.24	0.317	2.003	2.000	    0.36	100	100	   37.17	   11.38	  119.86	   37.38	0.766	0.234
7.00	99785.35	  157.90	   56.75	   57.41	  214.65	0.263	2.004	2.000	    0.73	100	100	   44.28	   13.13	  164.14	   50.51	0.771	0.229
8.00	99708.91	  204.33	   86.76	   76.44	  291.09	0.244	2.008	2.004	    1.24	100	100	   58.62	   17.82	  222.76	   68.33	0.767	0.233
9.00	99608.93	  265.62	  125.45	   99.98	  391.07	0.260	2.006	2.001	    2.12	100	100	   76.66	   23.32	  299.42	   91.65	0.767	0.233
10.00	99484.60	  338.88	  176.52	  124.33	  515.40	0.253	2.001	1.995	    3.25	100	100	   95.61	   28.72	  395.03	  120.37	0.769	0.231
11.00	99320.57	  439.30	  240.13	  164.03	  679.43	0.252	2.002	1.994	    5.39	100	100	  125.73	   38.30	  520.76	  158.67	0.767	0.233
12.00	99110.30	  565.12	  324.58	  210.27	  889.70	0.256	1.991	1.981	    8.82	100	100	  161.18	   49.09	  681.94	  207.76	0.767	0.233
