0	0.0023189	0.0013474	0.00096031	0.0011998	0.00016311	0.00015591	0.00028121	5.6019e-05	0	0	0	0	0	0	0	0	0
0.11465	0.036709	0.039993	0.027466	0.019298	0.0096065	0.0048665	0.0018067	0.0010561	0.00048978	0.00037795	0	0	0	0	0	0	0
0.11303	0.080637	0.091591	0.058248	0.03379	0.018312	0.0069724	0.0035587	0.0015061	0.00039153	0.00026167	9.8246e-05	0.00012089	0	0	0	0	0
0.038586	0.032716	0.037213	0.026503	0.019345	0.0096381	0.004428	0.0028215	0.0013504	0.0013224	0.0010167	0.00010081	0	0	0	0	0	0
0.016085	0.017169	0.018251	0.014553	0.01037	0.0057464	0.0031949	0.0029067	0.0015546	0.00028531	0.00028979	5.7461e-05	0.000106	0	0	0	0	0
0.0064003	0.007808	0.0064711	0.0069835	0.0055129	0.0026614	0.002511	0.0016893	0.00036441	0.0004985	6.2684e-05	0	0	0	0	0	0	0
0.0021027	0.00088187	0.0025619	0.0026741	0.0021511	0.0022272	0.00078528	0.00051531	0.00054595	0.00021173	0.00015276	0	0	0	0	0	0	0
0.00014822	0.00050593	0.0011754	0.0004512	0.00092876	0.00066061	0.00033199	0.00023866	0.00012089	0	7.8659e-05	0	0	0	0	0	0	0
7.9612e-05	0.0001804	0	0.00015683	0.00020463	0.00025834	0.00066967	0.00017721	0	0	0	0	0	0	0	0	0	0
0	0	5.6019e-05	0	0.00017721	2.0457e-05	0.00017721	0	0	0	0	0	0	0	0	0	0	0
0.00017721	0	0	8.4074e-05	7.7918e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.00010081	0	0	5.7461e-05	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
