0.00	99950.00	   50.00	    0.00	    0.00	   50.00	0.000	1.841	1.839	    0.12	 16		    0.00	    0.00	   27.00	   23.00	0.000	0.000
1.00	99949.77	   50.23	    0.00	    0.23	   50.23	0.000	1.943	1.940	    0.14	 57		    0.14	    0.09	   27.14	   23.09	0.615	0.385
2.00	99946.99	   51.66	    1.35	    2.87	   53.01	0.902	1.985	1.982	    0.13	 94		    1.77	    1.11	   28.85	   24.16	0.615	0.385
3.00	99933.14	   61.92	    4.94	   14.03	   66.86	0.386	1.983	1.980	    0.21	100		    8.34	    5.69	   37.08	   29.78	0.594	0.406
4.00	99902.17	   85.22	   12.61	   30.97	   97.83	0.281	1.992	1.988	    0.36	100		   18.36	   12.61	   55.44	   42.39	0.593	0.407
5.00	99859.15	  114.48	   26.37	   43.02	  140.85	0.307	1.995	1.991	    0.57	100		   24.94	   18.08	   80.38	   60.47	0.580	0.420
6.00	99804.88	  146.60	   48.52	   54.27	  195.12	0.271	2.004	1.999	    0.90	100		   31.93	   22.34	  112.31	   82.81	0.588	0.412
7.00	99734.34	  188.96	   76.70	   70.54	  265.66	0.251	1.998	1.993	    1.34	100		   41.97	   28.57	  154.28	  111.38	0.595	0.405
8.00	99643.27	  243.35	  113.38	   91.07	  356.73	0.253	2.003	1.997	    2.16	100		   53.59	   37.48	  207.87	  148.86	0.588	0.412
9.00	99527.19	  312.74	  160.07	  116.08	  472.81	0.252	1.995	1.987	    3.57	100		   68.58	   47.50	  276.45	  196.36	0.591	0.409
10.00	99377.56	  402.06	  220.38	  149.63	  622.44	0.251	1.994	1.984	    6.05	100		   86.91	   62.72	  363.36	  259.08	0.581	0.419
11.00	99185.76	  516.82	  297.42	  191.80	  814.24	0.251	1.996	1.983	   10.24	100		  112.37	   79.43	  475.73	  338.51	0.586	0.414
12.00	98940.02	  662.82	  397.16	  245.74	 1059.98	0.250	1.989	1.973	   16.46	100		  144.58	  101.16	  620.31	  439.67	0.588	0.412
13.00	98623.15	  850.92	  525.93	  316.87	 1376.85	0.249	1.983	1.964	   26.91	100		  187.12	  129.75	  807.43	  569.42	0.591	0.409
14.00	98221.47	 1086.31	  692.22	  401.68	 1778.53	0.247	1.978	1.953	   43.22	100		  239.04	  162.64	 1046.47	  732.06	0.595	0.405
15.00	97713.92	 1382.57	  903.51	  507.55	 2286.08	0.243	1.971	1.940	   70.37	100		  301.05	  206.50	 1347.52	  938.56	0.593	0.407
16.00	97063.28	 1760.69	 1176.03	  650.64	 2936.72	0.241	1.964	1.925	  112.61	100		  386.84	  263.80	 1734.36	 1202.36	0.595	0.405
17.00	96246.26	 2227.24	 1526.50	  817.02	 3753.74	0.238	1.955	1.907	  179.36	100		  489.27	  327.75	 2223.63	 1530.11	0.599	0.401
18.00	95219.53	 2808.82	 1971.65	 1026.73	 4780.47	0.234	1.942	1.883	  283.08	100		  617.10	  409.63	 2840.73	 1939.74	0.601	0.399
19.00	93937.48	 3523.65	 2538.87	 1282.05	 6062.52	0.229	1.925	1.852	  440.95	100		  767.05	  515.00	 3607.78	 2454.74	0.598	0.402
20.00	92354.52	 4383.92	 3261.56	 1582.96	 7645.48	0.223	1.906	1.818	  673.86	100		  958.42	  624.54	 4566.20	 3079.28	0.605	0.395
21.00	90416.69	 5410.78	 4172.53	 1937.83	 9583.31	0.214	1.883	1.778	 1011.40	100		 1182.40	  755.43	 5748.60	 3834.71	0.610	0.390
22.00	88069.43	 6605.66	 5324.91	 2347.26	11930.57	0.205	1.856	1.731	 1486.25	100		 1447.85	  899.41	 7196.45	 4734.12	0.617	0.383
23.00	85287.69	 7938.72	 6773.59	 2781.74	14712.31	0.192	1.823	1.679	 2118.57	100		 1733.13	 1048.61	 8929.58	 5782.73	0.623	0.377
