0.00	99950.00	   50.00	    0.00	    0.00	   50.00	0.000	1.760	1.760	    0.00	  1		    0.00	    0.00	   23.00	   27.00	0.000	0.000
1.00	99950.00	   50.00	    0.00	    0.00	   50.00	0.000	1.926	1.925	    0.06	 16		    0.00	    0.00	   23.00	   27.00	0.000	0.000
2.00	99949.61	   50.29	    0.11	    0.39	   50.39	2.098	2.000	1.999	    0.08	 66		    0.33	    0.06	   23.33	   27.06	0.846	0.154
3.00	99946.42	   52.36	    1.22	    3.31	   53.58	0.924	2.016	2.014	    0.09	 97		    2.44	    0.87	   25.67	   27.91	0.738	0.262
4.00	99930.62	   63.78	    5.60	   15.91	   69.38	0.327	2.013	2.011	    0.14	100		   11.66	    4.25	   37.25	   32.13	0.733	0.267
5.00	99896.01	   90.62	   13.37	   34.61	  103.99	0.289	2.003	2.000	    0.24	100		   25.76	    8.85	   63.01	   40.98	0.744	0.256
6.00	99849.77	  121.10	   29.13	   46.24	  150.23	0.321	2.013	2.010	    0.39	100		   34.52	   11.72	   97.53	   52.70	0.747	0.253
7.00	99794.96	  152.42	   52.62	   54.81	  205.04	0.260	2.010	2.007	    0.63	100		   40.23	   14.58	  137.76	   67.28	0.734	0.266
8.00	99719.75	  199.55	   80.70	   75.21	  280.25	0.250	2.010	2.006	    1.10	100		   54.92	   20.29	  192.68	   87.57	0.730	0.270
9.00	99624.59	  257.32	  118.09	   95.16	  375.41	0.262	2.007	2.002	    1.79	100		   70.06	   25.10	  262.74	  112.67	0.736	0.264
10.00	99502.46	  330.74	  166.80	  122.13	  497.54	0.253	2.000	1.994	    2.98	100		   89.34	   32.79	  352.08	  145.46	0.732	0.268
11.00	99344.03	  425.17	  230.80	  158.43	  655.97	0.251	2.001	1.993	    5.36	100		  116.71	   41.72	  468.79	  187.18	0.737	0.263
12.00	99143.11	  544.34	  312.55	  200.92	  856.89	0.249	1.999	1.988	    8.78	100		  147.16	   53.76	  615.95	  240.94	0.732	0.268
13.00	98882.57	  700.81	  416.62	  260.54	 1117.43	0.250	1.997	1.984	   14.45	100		  191.23	   69.31	  807.18	  310.25	0.734	0.266
14.00	98547.08	  901.82	  551.10	  335.49	 1452.92	0.252	1.987	1.970	   23.92	100		  246.43	   89.06	 1053.61	  399.31	0.735	0.265
15.00	98124.02	 1148.83	  727.15	  423.06	 1875.98	0.247	1.982	1.961	   37.89	100		  310.34	  112.72	 1363.95	  512.03	0.734	0.266
16.00	97583.63	 1468.05	  948.32	  540.39	 2416.37	0.244	1.977	1.952	   60.67	100		  396.49	  143.90	 1760.44	  655.93	0.734	0.266
